"mealID","date","eatingOut","mealName","mealType","note"
"1eaadce0-5078-470e-bad6-9b5dd0d14b89","2024-11-14T06:00:00.000Z","true","Torchys","Dinner",""
"0ab3c287-d7e0-41a1-81f3-f35b86e8b9bd","2024-12-05T06:00:00.000Z","true","taco bell","Dinner",""
"200e0889-fc08-4460-a5b4-5862244db0de","2025-01-19T06:00:00.000Z","false","terry black's leftover","Lunch",""
"5d9aee93-2216-40cf-921f-bd4662f630b7","2024-11-28T06:00:00.000Z","false","thanksgiving food","Dinner",""
"df049c20-9de1-42d7-890b-e4b86e91d07c","2024-12-08T06:00:00.000Z","false","leftovers","Lunch",""
"9dcd70ac-4fe2-4dba-9c7c-c3810faae7bd","2024-11-05T06:00:00.000Z","true","""Mess ""","Lunch",""
"1311ff7a-07b3-48cd-9c37-05c267ee0303","2024-12-02T06:00:00.000Z","false","sukhi's chicken tikka masala","Dinner",""
"fefe4d98-b20d-4812-8cd4-f1e1838c491a","2024-11-07T06:00:00.000Z","true","Fuego","Dinner",""
"b9cb59e9-d545-4fe0-839c-2290a14a9a15","2024-11-12T06:00:00.000Z","false","chicken sandwich","Lunch",""
"0d775ca9-3914-4151-b098-6249d93bf178","2024-12-09T06:00:00.000Z","false","fairlife","Lunch",""
"85692e23-8a78-4027-a3c3-1449a1c83df1","2024-11-07T06:00:00.000Z","false","kabob tabei","Lunch","kh ashjari food"
"3e7b8c9a-7805-4c4c-b2c4-db54eec32b28","2024-11-22T06:00:00.000Z","false","butter chicken","Dinner","trader joes"
"57de09d2-c925-4116-8e66-1495675fb50f","2024-11-27T06:00:00.000Z","true","Agas","Lunch",""
"cb3d36a3-4401-48b8-94e4-b3db29d564f2","2024-12-10T06:00:00.000Z","false","chicken sandwich","Lunch",""
"dace9021-49b6-4105-87b3-1df22e26b390","2024-11-24T06:00:00.000Z","true","Vodka pasta","Dinner",""
"3f2b3c0f-09d2-4b68-bf16-6aec0e0e4e13","2024-11-19T06:00:00.000Z","true","taco crave","Dinner",""
"026a8ee8-9ac1-4437-8aa2-a7563795a295","2024-11-06T06:00:00.000Z","false","zereshk polo w/ chicken","Dinner","kh ashjari food"
"3b77052c-8b14-4632-b5f1-2e8d79d38d6c","2025-01-15T06:00:00.000Z","false","texas roadhouse leftovers","Dinner",""
"fb025813-d64f-4955-a3f1-b35afd8cac00","2024-11-08T06:00:00.000Z","true","Sushi Masa","Dinner",""
"301abe2c-f3cc-4047-bc13-22ede0438aa6","2025-01-22T01:26:11.999Z","false","chicken tikka masala","Lunch","sukhi's"
"50201605-227c-4cd4-9c05-edb5db6e2bdc","2025-01-16T19:07:53.838Z","false","gheymeh","Lunch","mom's cooking"
"57f2d37d-8e7c-49a8-abed-a1a293b67db9","2024-11-29T06:00:00.000Z","false","thanksgiving leftovers","Lunch",""
"c15ed3b1-ca1d-4b5e-8ea4-3304082c07f4","2024-12-10T04:30:56.928Z","false","butter chicken leftover","Dinner",""
"13f8896d-9bd8-425d-a39b-8e19fdd17f60","2024-11-17T06:00:00.000Z","false","sabzi polo w/ salmon","Lunch","houston"
"5b92b3df-e905-45d9-af9d-3005c979c5d4","2024-11-22T06:00:00.000Z","false","frozen maggianos","Lunch",""
"017521d4-cb6a-4b95-9384-c35abf93faac","2024-12-04T06:00:00.000Z","false","leftovers","Lunch",""
"3cf9d00f-9630-484c-a350-c7120820b990","2024-12-06T06:00:00.000Z","false","chicken sandwich","Lunch",""
"f774505c-8fdd-4ce4-876d-c697d73d0dc3","2024-11-27T06:00:00.000Z","false","banana nutella toast","Dinner",""
"36a5d4fc-2f9e-49f0-91a9-0b15358ff324","2024-11-26T06:00:00.000Z","false","gheyme","Lunch","mom's cooking"
"23666071-5eb6-4fd3-a57e-408469265e13","2024-11-23T06:00:00.000Z","false","frozen maggianos","Lunch",""
"6c73411e-a860-4275-8d24-8841aae167fc","2024-11-13T06:00:00.000Z","true","chick fil a","Dinner",""
"f9c306cb-1989-4359-aeda-fdd48d14f285","2024-12-06T06:00:00.000Z","false","chicken sandwich","Dinner",""
"2a2c0813-cfee-4e09-8e51-23b26d7cfd4e","2024-11-10T06:00:00.000Z","true","sushi masa","Lunch",""
"64eb86db-a259-40c6-a234-4f70ca15c22f","2024-11-09T06:00:00.000Z","false","sara's friendsgiving","Dinner",""
"d066ad97-b7f1-4655-8d69-a538085fa7b2","2025-01-17T06:00:00.000Z","true","pluckers","Dinner",""
"225842b5-0693-48af-b51e-54a09584c44a","2025-01-17T06:00:00.000Z","false","chicken tacos","Lunch",""
"b5274c9b-b6c0-4000-b4da-aea65d01d166","2024-11-20T06:00:00.000Z","true","wingstop","Dinner",""
"da2b84a3-4b48-4271-b75c-4d842c3914b1","2024-11-21T06:00:00.000Z","true","""mess ""","Lunch",""
"92859b12-f1a7-46c2-bdfe-fdb4c9f403f0","2024-11-16T06:00:00.000Z","false","spaghetti and meatball","Dinner","houston"
"35c2b02e-27e1-4e25-8bd5-445f0454e6f1","2024-12-03T06:00:00.000Z","true","chipotle","Lunch",""
"5d7f18c0-b266-47b1-bac8-9c17e8225bd9","2024-12-11T06:00:00.000Z","false","kung pao chicken","Dinner","trader joes"
"0f8c210e-5d1e-4283-b6b1-87f9452976fe","2024-11-25T06:00:00.000Z","false","kalbas sandwhich","Dinner",""
"83a7fef7-839c-4513-961c-42fcd66d2bba","2025-01-20T06:00:00.000Z","false","spaghetti bolognese","Dinner","made by azzaam"
"ab1296a8-3aaf-437a-aa02-d69751995a80","2024-11-17T06:00:00.000Z","false","kh ashjari house","Dinner","kh ashjari food"
"e5a7fa55-a793-4a8b-8a4e-ba1afe522982","2024-11-19T06:00:00.000Z","true","subway","Lunch",""
"14f8bb3a-f74c-455a-be42-2b10b14b9bb4","2024-12-08T06:00:00.000Z","false","102 potluck","Dinner",""
"7df1f80d-1f66-452b-a804-c092cf9fd6e6","2024-11-09T06:00:00.000Z","true","sams club pizza","Lunch",""
"8e2bea83-85fd-4767-821b-0c608c01f7de","2024-11-10T06:00:00.000Z","false","cereal","Dinner",""
"786ce65b-ed7a-4c55-90b6-de4ba6b2ca67","2024-11-30T06:00:00.000Z","true","thanksgiving leftovers","Lunch",""
"a5528315-b93e-4c2e-bdf3-46ffda1dcb3d","2024-12-05T06:00:00.000Z","false","chicken nuggets","Lunch",""